tsne1,tsne2,cluster,cluster_name,track_name,artist,release_year,popularity,danceability,energy,valence,acousticness,loudness
-2.480424,1.747877,1,Acoustic and Mellow,Justify My Love - The Beast Within Mix,"['Madonna', 'Lenny Kravitz']",1990,23,0.694,0.85,0.535,0.377,-11.339
-6.2821164,9.664127,1,Acoustic and Mellow,Lucky Star - US ReMix Version,['Madonna'],1990,41,0.786,0.528,0.92,0.082,-11.679
0.19747888,0.11800537,1,Acoustic and Mellow,Fever,['Madonna'],1992,39,0.778,0.727,0.549,0.066,-10.296
4.260537,1.4394739,1,Acoustic and Mellow,Waiting,['Madonna'],1992,33,0.745,0.622,0.745,0.187,-8.164
-1.3978343,-3.5176985,0,Energetic and Danceable,Bad Girl,['Madonna'],1992,39,0.645,0.484,0.52,0.021,-11.233
1.6228447,-0.30073902,0,Energetic and Danceable,Thief of Hearts,['Madonna'],1992,32,0.809,0.655,0.471,0.004,-8.479
-0.16936737,4.8199687,1,Acoustic and Mellow,Where Life Begins,['Madonna'],1992,35,0.687,0.716,0.83,0.026,-10.745
0.2713236,-1.6808606,0,Energetic and Danceable,Bye Bye Baby,['Madonna'],1992,34,0.757,0.612,0.431,0.001,-9.986
1.5325849,-1.4554311,0,Energetic and Danceable,Words,['Madonna'],1992,30,0.712,0.708,0.521,0.009,-9.277
1.3251345,-7.0117373,0,Energetic and Danceable,Why's It so Hard,['Madonna'],1992,30,0.612,0.617,0.239,0.003,-9.079
-0.3618031,-9.578527,0,Energetic and Danceable,In This Life,['Madonna'],1992,29,0.493,0.449,0.086,0.006,-10.437
3.8753788,1.3337352,1,Acoustic and Mellow,Survival,['Madonna'],1994,38,0.732,0.623,0.736,0.106,-9.004
0.34172744,-8.850529,0,Energetic and Danceable,Sky Fits Heaven,['Madonna'],1998,43,0.526,0.568,0.215,0.073,-10.504
-4.9298215,-7.1427493,0,Energetic and Danceable,Skin,['Madonna'],1998,43,0.572,0.806,0.388,0.339,-12.316
3.1837292,-9.288979,0,Energetic and Danceable,Get Together,['Madonna'],2005,55,0.364,0.71,0.284,0.005,-7.428
7.7387257,8.884369,3,Smooth and Sophisticated,4 Minutes (feat. Justin Timberlake and Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2008,55,0.705,0.911,0.803,0.006,-4.873
6.52128,-4.69789,0,Energetic and Danceable,Deeper and Deeper,['Madonna'],1992,40,0.659,0.818,0.39,0.006,-7.09
2.6127708,-4.5118246,0,Energetic and Danceable,Shanti / Ashtangi,['Madonna'],1998,42,0.641,0.771,0.419,0.059,-9.501
-7.623567,-11.06664,2,Bold and Uplifting,To Have and Not to Hold,['Madonna'],1998,43,0.554,0.543,0.654,0.721,-12.417
10.470216,13.094924,3,Smooth and Sophisticated,Everybody - Original Version,['Madonna'],1983,30,0.921,0.782,0.616,0.02,-4.998
-12.5803995,-10.449678,2,Bold and Uplifting,Another Suitcase in Another Hall,['Madonna'],1996,38,0.52,0.248,0.228,0.848,-14.166
6.0616136,-6.45943,0,Energetic and Danceable,Amazing,['Madonna'],2000,39,0.563,0.842,0.41,0.004,-7.029
0.27088603,-1.6816844,0,Energetic and Danceable,Bye Bye Baby,['Madonna'],1992,33,0.757,0.612,0.431,0.001,-9.986
2.690729,-8.02403,0,Energetic and Danceable,Masterpiece,['Madonna'],2012,47,0.533,0.58,0.374,0.002,-7.008
7.0591393,-3.8628423,0,Energetic and Danceable,Justify My Love,['Madonna'],2009,51,0.705,0.821,0.456,0.002,-7.085
5.987448,-1.4213002,0,Energetic and Danceable,Bitch I'm Madonna,"['Madonna', 'Nicki Minaj']",2015,62,0.722,0.63,0.519,0.048,-5.784
7.115005,-8.09432,0,Energetic and Danceable,Like a Prayer,['Madonna'],2009,42,0.624,0.842,0.257,0.264,-5.285
4.829279,11.315301,3,Smooth and Sophisticated,Material Girl,['Madonna'],2009,39,0.742,0.883,0.978,0.333,-3.419
8.548869,9.518515,3,Smooth and Sophisticated,4 Minutes (feat. Justin Timberlake & Timbaland),"['Madonna', 'Justin Timberlake', 'Timbaland']",2009,38,0.753,0.931,0.767,0.01,-4.922
7.650654,9.979003,3,Smooth and Sophisticated,Into the Groove,['Madonna'],2009,32,0.729,0.856,0.804,0.066,-4.164
7.4388638,13.162512,3,Smooth and Sophisticated,Holiday,['Madonna'],2009,30,0.854,0.796,0.946,0.054,-5.567
9.007726,-1.8730451,3,Smooth and Sophisticated,Borderline,['Madonna'],2009,25,0.807,0.764,0.371,0.082,-5.186
3.0234861,-1.5558665,0,Energetic and Danceable,What It Feels Like for a Girl,['Madonna'],2000,46,0.67,0.627,0.582,0.201,-9.497
6.0919294,-5.764104,0,Energetic and Danceable,Sorry,['Madonna'],2006,52,0.603,0.846,0.438,0.001,-7.495
