id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,cluster,hdbscan_cluster
09rZ7xC4mioI3HQBpyxpi3,Express Yourself,43,244173,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.697,0.765,7,-9.158,1,0.0505,0.00306,0.000105,0.125,0.626,115.496,4,1990,0,7
7u4YYDqgqEu7etjfwWy3u8,Papa Don't Preach,43,249427,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.811,0.816,5,-8.423,0,0.0344,0.459,0.0,0.0543,0.944,121.915,4,1990,1,-1
1AMZVcZvuPKqxm822W8PGV,Open Your Heart,42,231133,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1990-11-09,0.671,0.752,5,-10.03,1,0.0418,0.0158,0.0,0.103,0.847,113.065,4,1990,1,7
5oqukcHWfqq7HGjyKwLX1y,Take a Bow,55,321360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.568,0.366,8,-8.854,1,0.0258,0.417,3.39e-06,0.0664,0.311,79.98,4,1994,2,-1
15FcP9qwmIKqaD5NhfhNpu,Secret,53,304933,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.813,0.655,1,-7.884,1,0.0262,0.101,6.65e-05,0.146,0.46,99.982,4,1994,0,-1
4Cna7QxOOTNnylVHLtShCi,Human Nature,47,293933,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1994-10-25,0.691,0.571,10,-7.737,0,0.0347,0.0313,0.206,0.118,0.641,92.528,4,1994,0,6
00U0pedRUMEzREpyRqbVT6,I'll Remember (Theme from the Motion Picture With Honors),53,263813,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.691,0.601,7,-9.698,1,0.0428,0.628,0.017,0.0709,0.85,167.796,4,1995,1,-1
0Fb8sdyNluLawg08N1zs48,You'll See,51,281067,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.601,0.545,4,-9.972,0,0.0311,0.479,0.000224,0.0975,0.234,89.79,4,1995,2,1
637V2ymBt4Ljlbz4EmRys8,This Used to Be My Playground,49,310267,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.499,0.308,7,-11.692,0,0.0264,0.754,0.000928,0.125,0.0708,75.91,4,1995,2,0
6iABG3ruJ1ArrulilbVhai,Crazy for You,47,224520,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1995-11-17,0.666,0.714,9,-6.575,1,0.0294,0.122,0.0,0.128,0.532,94.998,4,1995,0,-1
0bLRXQaWzmSXRXPmP6JnEF,Don't Cry for Me Argentina,56,331467,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],1996-10-25,0.217,0.146,11,-13.9,1,0.0373,0.901,4.49e-06,0.222,0.0847,75.922,4,1996,2,-1
3afv9TL8ixr4T9VbiKnrwe,American Pie,61,273533,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000-09-19,0.631,0.734,5,-7.48,0,0.036,0.348,0.0,0.135,0.591,124.036,4,2000,0,-1
2fzykVsO2Di5jnofUNX3YE,Music,60,225973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000-09-19,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,4,2000,3,7
23EhTCPRTlLVM6VQUyh8bH,Don't Tell Me,55,280973,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2000-09-19,0.699,0.618,7,-7.338,1,0.0594,0.0502,0.000925,0.0914,0.679,99.965,4,2000,0,6
7mS8RbJji2UZAaguRGsOCH,Me Against the Music (feat. Madonna) - LP Version / Video Mix,62,223773,0,"['Britney Spears', 'Madonna']","['26dSoYclwsYLMAKD3tpOr4', '6tbjWDEIzxoDsBA1FuhfPW']",2003-11-13,0.804,0.836,6,-6.635,0,0.089,0.32,0.0,0.213,0.85,120.046,4,2003,3,-1
3850dYVgOFIXJh5U4BFEWH,Hung Up,75,337733,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2005-11-11,0.649,0.647,9,-7.695,0,0.0452,0.0039,0.161,0.0686,0.405,125.02,4,2005,0,-1
55whbebR4olz2HHcRQa2kx,Sorry,62,281880,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2005-11-11,0.589,0.877,0,-6.229,0,0.046,0.00121,0.013,0.169,0.443,132.971,4,2005,0,8
5hmRhU6fWzH0NjYmfhHjhp,Jump,59,238560,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2005-11-11,0.629,0.839,9,-7.061,1,0.0899,0.0018,0.0859,0.251,0.449,118.979,4,2005,0,8
59qPP8coY8EWIQ9nQDThui,Give It 2 Me,59,287907,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2008-04-19,0.837,0.954,8,-3.512,0,0.0414,0.0933,0.000405,0.143,0.972,127.019,4,2008,3,-1
22sLuJYcvZOSoLLRYev1s5,Material Girl,74,240280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.742,0.883,0,-3.419,1,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,4,2009,3,4
1z3ugFmUKoCzGsI6jdY4Ci,Like a Prayer,73,342680,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.624,0.842,5,-5.285,1,0.0376,0.264,2.11e-05,0.181,0.257,111.037,4,2009,0,-1
1oHClQEgDmmbcEx12Kc5nZ,4 Minutes (feat. Justin Timberlake & Timbaland),71,189693,0,"['Madonna', 'Justin Timberlake', 'Timbaland']","['6tbjWDEIzxoDsBA1FuhfPW', '31TPClRtHm23RisEBtV3X7', '5Y5TRrQiqgUO4S36tzjIRZ']",2009-09-18,0.753,0.931,2,-4.922,1,0.0652,0.00994,0.00696,0.234,0.767,113.029,4,2009,3,2
27QvYgBk0CHOVHthWnkuWt,Vogue,68,316813,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.737,0.88,6,-6.449,1,0.0433,0.00379,0.00351,0.417,0.329,115.998,4,2009,0,8
2Iib2MV3ECFJAourgP9dlY,La Isla Bonita,66,242947,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.708,0.832,1,-4.736,0,0.0362,0.392,1.33e-06,0.0561,0.968,99.953,4,2009,3,4
6B4oVElDIKRNcNUary0WG7,Crazy for You,65,224320,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.662,0.719,9,-6.606,1,0.0298,0.107,0.0,0.102,0.511,95.001,4,2009,0,-1
2m0M7YqCy4lXfedh18qd8N,Into the Groove,64,285093,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.729,0.856,10,-4.164,0,0.035,0.0658,0.00832,0.0691,0.804,116.467,4,2009,3,2
4k6ktr10Hczmh55NY3LfJy,Holiday,63,368280,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.854,0.796,11,-5.567,0,0.0399,0.0542,0.00184,0.151,0.946,115.625,4,2009,3,3
70VjMtwhm3Q2HBQeJnPfmh,Hung Up,59,336880,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],2009-09-18,0.64,0.646,9,-7.572,0,0.0497,0.00364,0.165,0.0912,0.415,124.992,4,2009,0,-1
